patch_id	group_id	default_enabled	status	confidence	name	description	source_mapping_id	runtime_classification	review_notes
font_nun5_glyphs	glyph_data	1	runtime_proven	verified	Native NUN5 secondary font	Use NUN5's native 14x20 raster geometry and metrics for every same-semantic English glyph, reconstruct unsupported punctuation from clean NA2, preserve clean GF4C, apply the renderer's local horizontal factor to native leading bearings, and use the descriptor height only for the secondary glyph quad.	NUN5-GF4-NATIVE-14X20	Runtime-proven across matched Controls, Practice, Save/Load, and character-modal captures. The final guarded Controls run on worker ISO CRC 9B7C20AE read back the canonical helper and hook, restored the 24x28 secondary presentation, and retained the accepted width, spacing, bearing, and fit behavior; median height and center-Y deltas against NUN5 were both zero.	Generated from hash-pinned clean NA2 and official NUN5 only. The user accepted the final font itself as almost pixel-for-pixel. Fullwidth Shift-JIS Save/Load digits remain on the primary 24-pixel path and are not a halfwidth-Latin parity target. The rejected m01, palette-swap, 10x22 resample, global-parser, and shared 28x28 approaches are not implementation parents.
font_renderer_metrics	auto_fit	0	runtime_proven	verified	NUN5 secondary tracking baseline	Set secondary tracking to zero so resident shared measurement starts from the donor baseline.	NUN5-SHARED-TEXT-METRICS-PORT	Runtime-proven across the matched Controls result and the full ten-state regression.	The executable shared metric and its guarded hooks are owned by the Localization resident-patcher module.
font_controls_auto_fit	auto_fit	0	runtime_proven	verified	Controls scale state and alignment	Initialize the shared horizontal scale to 1.0 and retain the accepted Controls-only label alignment edits.	NUN5-BOXED-FIT-SHARED-METRICS	Runtime-proven with the full official Ultimate Jutsu Prep label at the same 157-pixel visible width and center as NUN5; Linked Attack remains full width and OFF stays on the ordinary renderer.	The executable fit and scale helpers plus their guarded hooks are owned by the Localization resident-patcher module.
font_modal_alignment	alignment	1	runtime_proven	verified	Character-modal alignment	Use independently measured local X positions for all five Back to Game Mode Screen modal rows while retaining their accepted local Y behavior.	NUN5-CHARACTER-MODAL-MATCHED-CAPTURES	Runtime-proven against the matched native_final_v2 NA2 and NUN5 captures: ordinary row ink centers converge within 1 pixel and the long fifth row fits within the modal.	Selected-shadow compensation preserves the same visible center; the tuning depends on the native glyph metrics.
font_save_load_ascii_digits	front_end	1	runtime_proven	verified	ASCII Save/Load date and time	Format only the six Save/Load date/time numeric fields through NA2's existing ASCII sprintf and replace their fullwidth colon constant with ASCII colon.	NUN5-SAVE-LOAD-ASCII-DIGITS	resident	The user verified worker ISO CRC F9FC3002 manually from a clean boot and confirmed that the Save/Load date and Play Time fields render correctly as ASCII. Preserves NA2's YYYY/MM/DD order, four/two/two-digit date widths, three/two/two-digit time widths, timer divisors, and every numeric caller outside FUN_001e6370.
BTL-M001	battle_ui	1	approved_for_test	high	BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.	Likely battle setup, pause, result, tutorial, mission, or other BTL-owned menu. Exact runtime screen is unclassified; gameplay-input overlap must be ruled out.	BTL-M001		BTL may share these state fields with gameplay. Runtime screen classification is mandatory before approval. | Review/apply as a handler set with BTL-P001, BTL-P002, BTL-P003, BTL-P004. | Review/apply as a handler set with BTL-P001, BTL-P002, BTL-P003, BTL-P005. | Review/apply as a handler set with BTL-P001, BTL-P002, BTL-P004, BTL-P005. | Review/apply as a handler set with BTL-P001, BTL-P003, BTL-P004, BTL-P005. | Review/apply as a handler set with BTL-P002, BTL-P003, BTL-P004, BTL-P005.
BTL-M002	battle_ui	1	approved_for_test	high	BTL-owned battle-adjacent UI/state input range. Contains a multi-button regional permutation, not merely a single confirm literal.	Likely battle setup, pause, result, tutorial, mission, or other BTL-owned menu. Exact runtime screen is unclassified; gameplay-input overlap must be ruled out.	BTL-M002		BTL may share these state fields with gameplay. Runtime screen classification is mandatory before approval. | Review/apply as a handler set with BTL-P006, BTL-P007, BTL-P008. | Review/apply as a handler set with BTL-P006, BTL-P007, BTL-P009. | Review/apply as a handler set with BTL-P006, BTL-P008, BTL-P009. | Review/apply as a handler set with BTL-P007, BTL-P008, BTL-P009.
BTL-M003	battle_ui	1	approved_for_test	medium	BTL-owned battle-adjacent UI/state input range.	Likely battle setup, pause, result, tutorial, mission, or other BTL-owned menu. Exact runtime screen is unclassified; gameplay-input overlap must be ruled out.	BTL-M003		BTL may share these state fields with gameplay. Runtime screen classification is mandatory before approval. | Review/apply as a handler set with BTL-P010. | Review/apply as a handler set with BTL-P011.
BTL-M004	battle_ui	1	approved_for_test	medium	BTL-owned battle-adjacent UI/state input range.	Likely battle setup, pause, result, tutorial, mission, or other BTL-owned menu. Exact runtime screen is unclassified; gameplay-input overlap must be ruled out.	BTL-M004		BTL may share these state fields with gameplay. Runtime screen classification is mandatory before approval. | Review/apply as a handler set with BTL-P012. | Review/apply as a handler set with BTL-P013.
BTL-M005	battle_ui	1	approved_for_test	medium	BTL-owned battle-adjacent UI/state input range.	Likely battle setup, pause, result, tutorial, mission, or other BTL-owned menu. Exact runtime screen is unclassified; gameplay-input overlap must be ruled out.	BTL-M005		BTL may share these state fields with gameplay. Runtime screen classification is mandatory before approval. | Review/apply as a handler set with BTL-P014. | Review/apply as a handler set with BTL-P015.
