id	old_offset	pointer_offset	new_offset	new_runtime	bytes_cp932_with_null	old_marker	translation
BTL_0011	0x1E2110	0x1E2480	0x222300	0x008D6200	15	too_small_8	Ａｃａｄｅｍｙ
BTL_0012	0x1E2130	0x1E2494	0x222310	0x008D6210	25	written	Ｇｅｎｉｎ　Ｒａｎｋ　Ａ
BTL_0013	0x1E2150	0x1E24A8	0x222330	0x008D6230	25	written	Ｇｅｎｉｎ　Ｒａｎｋ　Ｂ
BTL_0014	0x1E2170	0x1E24BC	0x222350	0x008D6250	25	written	Ｇｅｎｉｎ　Ｒａｎｋ　Ｃ
BTL_0015	0x1E2190	0x1E24D0	0x222370	0x008D6270	25	written	Ｇｅｎｉｎ　Ｒａｎｋ　Ｄ
BTL_0016	0x1E21B0	0x1E24E4	0x222390	0x008D6290	27	written	Ｓａｎｄ　Ｓｉｂｌｉｎｇｓ
BTL_0017	0x1E21E0	0x1E24F8	0x2223B0	0x008D62B0	29	written	Ｍｉｓｔ　Ａｓｓａｓｓｉｎｓ
BTL_0018	0x1E2200	0x1E250C	0x2223D0	0x008D62D0	33	written	Ｎｅｗ　Ｔｅａｍ　Ｋｕｒｅｎａｉ
BTL_0019	0x1E2220	0x1E2520	0x222400	0x008D6300	29	too_small_10	Ｎｅｗ　Ｔｅａｍ　Ａｓｕｍａ
BTL_0020	0x1E2240	0x1E2534	0x222420	0x008D6320	25	too_small_8	Ｎｅｗ　Ｔｅａｍ　Ｇｕｙ
BTL_0021	0x1E2260	0x1E2548	0x222440	0x008D6340	33	written	Ｎｅｗ　Ｔｅａｍ　Ｋａｋａｓｈｉ
BTL_0022	0x1E2280	0x1E255C	0x222470	0x008D6370	25	written	Ｊｏｎｉｎ　Ｒａｎｋ　Ａ
BTL_0023	0x1E22A0	0x1E2570	0x222490	0x008D6390	25	written	Ｊｏｎｉｎ　Ｒａｎｋ　Ｂ
BTL_0024	0x1E22C0	0x1E2584	0x2224B0	0x008D63B0	23	written	Ｓａｎｄ　Ｅｌｉｔｅｓ
BTL_0025	0x1E22E0	0x1E2598	0x2224D0	0x008D63D0	21	written	Ｓｏｕｎｄ　Ｆｉｖｅ
BTL_0026	0x1E2310	0x1E25AC	0x2224F0	0x008D63F0	23	too_small_10	Ｗｉｃｋｅｄ　Ｏｎｅｓ
BTL_0027	0x1E2330	0x1E25C0	0x222510	0x008D6410	33	written	Ｌｅｇｅｎｄａｒｙ　Ｓａｎｎｉｎ
BTL_0028	0x1E2360	0x1E25D4	0x222540	0x008D6440	17	too_small_9	Ａｋａｔｓｕｋｉ
BTL_0029	0x1E2380	0x1E25E8	0x222560	0x008D6460	21	written	Ｔｈｅ　Ｈｏｋａｇｅ
BTL_0030	0x1E23A0	0x1E25FC	0x222580	0x008D6480	29	written	Ｓｐｅｃｉａｌ　Ｂａｔｔｌｅ
BTL_0031	0x1E23C0	0x1E2610	0x2225A0	0x008D64A0	23	written	Ｂｌｏｎｄ　Ｓｑｕａｄ
BTL_0032	0x1E23F0	0x1E2624	0x2225C0	0x008D64C0	25	written	Ｐｕｐｐｅｔ　Ｃｏｒｐｓ
BTL_0033	0x1E2410	0x1E2638	0x2225E0	0x008D64E0	27	written	Ｌｅａｆ　Ｔｅａｃｈｅｒｓ
BTL_0034	0x1E2430	0x1E264C	0x222600	0x008D6500	27	written	Ｋｅｋｋｅｉ　Ｇｅｎｋａｉ
