"Offset"	"CapacityBytes"	"NewText"	"Reason"
"0x24F50"	"16"	"Ｑｕｉｔ？"	"Fullwidth short collection exit prompt; fits slot."
"0x25D70"	"13"	"Stay Focused!"	"More natural than Stay Sharp... while preserving meaning."
"0x25DB0"	"11"	"Ladylike"	"Cleaner rendering of 女らしく within budget."
"0x25DE0"	"11"	"Fists Up!"	"More idiomatic than Power Fist! for 拳に力を."
"0x25E50"	"6"	"Scout"	"Shorter tactical term for 索敵."
"0x25E80"	"6"	"Ｆｌｙ"	"Fullwidth short label; fits exact CP932 budget."
"0x26400"	"8"	"Entry"	"Cleaner short label than Entrance."
"0x26480"	"9"	"Stoic Man"	"More natural title than Quiet Man."
"0x265E0"	"17"	"Cast Genjutsu"	"More natural verb phrase than Genjutsu Activate."
"0x26610"	"11"	"That's it."	"More natural phrasing than That's That."
"0x26A30"	"15"	"Perfect Balance"	"Avoids rough Off/Def abbreviation."
"0x2C670"	"19"	"Frustration Shows"	"More idiomatic than Leaking Frustration."
"0x2C820"	"18"	"Rare Beast Reunion"	"More faithful to 珍獣 than generic Beast."
"0x2CD10"	"7"	"Act!"	"Shorter, cleaner rendering of 行動あるのみ."
"0x2D950"	"22"	"Team Kurenai Gathers"	"Naturalizes Assembles phrasing."
"0x2DB80"	"13"	"Akatsuki Aim"	"More compact than Akatsuki Goal."
"0x2DFF0"	"15"	"Black Shadow"	"Cleaner title within budget."
"0x2EE50"	"8"	"Ｆｏｅ"	"Fullwidth short UI label for opponent; fits budget."
"0x2F2A0"	"12"	"Buy Figures"	"Title case and no trailing period for menu description."
"0x2F2D0"	"14"	"Buy Ultimates"	"Title case and no trailing period for menu description."
"0x2F300"	"10"	"Buy Music"	"Title case and no trailing period for menu description."
"0x2F330"	"11"	"Buy Voices"	"Title case and no trailing period for menu description."
"0x2F360"	"16"	"Buy Guide Ninja"	"Title case and no trailing period for menu description."
"0x2F3A0"	"26"	"Choose character to buy"	"Smoother prompt, shorter than current."
"0x2F500"	"10"	"Ｑｕｉｔ？"	"Fullwidth short shop exit prompt; fits exact CP932 budget."
"0x2F6F0"	"27"	"You drew a dud ticket..."	"More natural lottery wording."
"0x2F8B0"	"20"	"Too bad, no prize."	"More accurate lottery failure message."
