patch_id	group_id	enabled	status	confidence	name	description	evidence_id	review_notes
font_glyphs_metrics	font_glyphs	1	approved_for_test	high	Compiled-C native secondary metrics	Decode the accepted packed 14x20 metric rows for measurement and drawing from composition-time C in 228.BIN, leaving only guarded register-setup hooks in the fixed boot ELF.	NUN5-GF4-NATIVE-14X20	Runtime: Static composition preserves the accepted lookup, nibble expansion, horizontal leading-bearing scale, vertical-mode selection, trailing trim, and native cleanup destinations; fresh user regression is required for the relocated control flow. | The atlas and packed-map assets remain unchanged. The former 316-byte decoder and 24-byte measurement-hook blobs are retired rather than recompiled into fixed ELF space.
font_layout_core	font_layout	1	runtime_proven	high	Resident v2 shared layout core	Provide independent NUN5-compatible printable-ASCII measurement, shrink-only fitting, box positioning, explicit line measurement, and session-guarded renderer hooks for accepted caller-family adapters.	NUN5-V2-SHARED-LAYOUT-CORE	Runtime: Matched Controls review proves the generated core uses the accepted 95-entry metric table, never enlarges text, restores renderer state, and remains resident through a real title-to-Load transition. | The core is enabled with the accepted Controls caller; a null session still reproduces every displaced NA2 instruction and it does not target any retained v1 symbol.
font_layout_controls	font_layout	1	runtime_proven	verified	Resident v2 Controls boxed fit	Route the first eight Control Settings action labels through the v2 128-unit NUN5 box.	NUN5-V2-CONTROLS-BOXED-FIT	Runtime: Matched 640x480 review proves the first eight label bounds and centers, full-width Linked Attack, 128/178 Ultimate Jutsu Prep fitting, exact caller-center-minus-64 positioning, and complete transient-state restoration. | The user accepted the first eight rows on 2026-07-26. The unrelated ninth Control Settings vibration call remains native; the battle Special Controls modal uses separate Shift-JIS slots handled by canonical mappings T2203/T2204.
font_layout_titles	font_layout	1	runtime_proven	high	Resident v2 Command Chart and Practice title boxes	Route the two title-only BTL draw calls through one configurable v2 adapter with distinct 288-unit Command Chart and 352-unit Practice containers.	NUN5-V2-TITLE-BOXES	Runtime: Matched hidden worker captures prove shrink-only fit and NUN5-aligned title origins in both modes; guarded BTL call sites isolate title rows from Practice explanations and Command Chart auxiliary strings. | The user accepted Command Chart on 2026-07-27; Practice title acceptance remains pending, and this title patch selects no Practice explanation or Command Chart auxiliary call.
font_layout_pause_controls	font_layout	1	runtime_proven	high	Resident v2 Pause Controls list fit	Route both normal and selected Pause Controls rows through one shared 216-unit shrink-only box with the retained NUN5 four-unit Y correction.	NUN5-V2-PAUSE-CONTROLS-LIST	Runtime: The exact BTL calls at files 0x1C97D8 and 0x1C9794 are isolated from the shared boot-ELF list helper; static guards and adapter tests preserve each native ABI, including the selected red style and proven two-unit selected-helper X compensation. | The user verified both the normal ss2 state and corrected selected ss3 state on 2026-07-27; no ss4 confirmation-body or Yes/No caller is selected.
font_layout_quit_confirmation	font_layout	1	runtime_proven	high	Resident v2 shared modal row adapters and Battle or Practice quit confirmation layout	Route the shared quit-confirmation body and Yes/No list through draw-time wrapping and scoped NUN5 coordinate adapters, while exact Special Controls string-pointer guards reuse the same selected/unselected hooks.	NUN5-V2-QUIT-CONFIRMATION	Runtime: The exact BTL body and list calls delimit the quit modal; outside its transient scope, both shared hooks recognize both Special Controls ON/OFF pointers so each row retains its measured coordinates when selection swaps. | The user verified the combined quit-confirmation result across Battle and Practice returns to Game Mode and Character Select on 2026-07-27. Matched ON- and OFF-highlight ss1 captures prove the pointer-specific positions; every other list remains native and the small raster-height mismatch is tracked separately.
font_layout_special_controls_body	font_layout	1	runtime_proven	high	Resident v2 Special Controls explanatory body	Route only the exact Special Controls explanatory-body call through the shared draw-time word wrapper using the NUN5 400x60 two-line container.	NUN5-V2-SPECIAL-CONTROLS-BODY	Runtime: The supplied ss1 pair and exact wrapper telemetry identify BTL file 0x1C3D38; NUN5 keeps the canonical source string unbroken and creates a transient line break before for inside a 400-unit, two-line box. | An exact-guarded converted ss1 state proves the two lines share NUN5's break and origins; the direct call preserves every other shared UI body and reuses the existing v2 native measure, wrap, and adapter-session primitives.
font_layout_practice_explanations	font_layout	1	runtime_proven	high	Resident v2 Practice explanation flow	Replace the per-token Practice explanation renderer with one NUN5-equivalent mixed text/icon buffer, unlimited word wrapping inside the 364x48 box, and call-local icon callbacks.	NUN5-V2-PRACTICE-EXPLANATIONS	Runtime: Matched hidden captures across supplied Practice slots 2-7 prove NUN5-equivalent one-, two-, and three-line wrapping, line spacing, placement, and native D-pad, face, plus, and shoulder icons. | Controls and Command Chart regression captures remain intact; the composed NUN5-left/current-right Practice grids await user acceptance before the next caller family begins.
font_numeric_ninja_song	font_numeric_formatting	1	runtime_proven	high	Ninja Song ASCII dynamic numbers	Route all five dynamic Ninja Song decimal fields through one NUN5-compatible ASCII formatter while preserving each caller's width and padding mode.	NUN5-NINJA-SONG-ASCII-NUMBERS	Runtime: The user built and tested the integrated fix across Ninja Song ss2–ss5 and declared the task done; static guards prove all five dynamic fields share the same formatter helper. | The canonical T2195 ASCII multiplication separator remains reachable and correct; unseen decimal values use the same width-aware helper rather than separate string mappings.
font_numeric_save_load	font_numeric_formatting	1	runtime_proven	verified	Compiled-C EU Save/Load date and time	Route the six accepted Save/Load numeric fields through typed C entries while retaining only register setup and symbolic hooks at the native call sites.	NUN5-SAVE-LOAD-EU-DATETIME	Runtime: The user verified the corrected compiled-C Load and Save paths after a fresh build: both open without freezing and retain DD/MM/YYYY, ASCII HH:MM:SS, and NUN5's 99-hour cap. | The first entry reads day and year from the live record, returns year for the existing callee-saved s6 lifetime, and all seven numeric call-site hooks use linking jal26 so their C entries resume the native functions. Native variadic sprintf ABI remains isolated in two minimal bridges.
font_numeric_battle_settings	font_numeric_formatting	1	runtime_proven	verified	Compiled-C Battle Settings time	Route only ordinary Battle Settings Time through the shared ASCII C formatting layer while preserving the special 100/infinity path.	NUN5-BATTLE-SETTINGS-ASCII-DIGITS	Runtime: The user verified the ordinary below-100 value and the separate 100/infinity behavior after the corrected compiled-C build. | The exact guarded call block uses linking jal26; the preceding infinity branch, selector state, timer value, all other rows, and every other fullwidth formatter caller remain untouched.
