"Offset"	"CapacityBytes"	"OldText"	"NewText"	"NewByteCount"	"Reason"
"0x24F50"	"16"	"Quit Collection?"	"Ｑｕｉｔ？"	"10"	"Fullwidth short collection exit prompt; fits slot."
"0x25D70"	"13"	"Stay Sharp..."	"Stay Focused!"	"13"	"More natural than Stay Sharp... while preserving meaning."
"0x25DB0"	"11"	"Like a Lady"	"Ladylike"	"8"	"Cleaner rendering of 女らしく within budget."
"0x25DE0"	"11"	"Power Fist!"	"Fists Up!"	"9"	"More idiomatic than Power Fist! for 拳に力を."
"0x25E50"	"6"	"Search"	"Scout"	"5"	"Shorter tactical term for 索敵."
"0x25E80"	"6"	"Flight"	"Ｆｌｙ"	"6"	"Fullwidth short label; fits exact CP932 budget."
"0x26400"	"8"	"Entrance"	"Entry"	"5"	"Cleaner short label than Entrance."
"0x26480"	"9"	"Quiet Man"	"Stoic Man"	"9"	"More natural title than Quiet Man."
"0x265E0"	"17"	"Genjutsu Activate"	"Cast Genjutsu"	"13"	"More natural verb phrase than Genjutsu Activate."
"0x26610"	"11"	"That's That"	"That's it."	"10"	"More natural phrasing than That's That."
"0x26A30"	"15"	"Perfect Off/Def"	"Perfect Balance"	"15"	"Avoids rough Off/Def abbreviation."
"0x2C670"	"19"	"Leaking Frustration"	"Frustration Shows"	"17"	"More idiomatic than Leaking Frustration."
"0x2C820"	"18"	"Reunion with Beast"	"Rare Beast Reunion"	"18"	"More faithful to 珍獣 than generic Beast."
"0x2CD10"	"7"	"Act Now"	"Act!"	"4"	"Shorter, cleaner rendering of 行動あるのみ."
"0x2D950"	"22"	"Team Kurenai Assembles"	"Team Kurenai Gathers"	"20"	"Naturalizes Assembles phrasing."
"0x2DB80"	"13"	"Akatsuki Goal"	"Akatsuki Aim"	"12"	"More compact than Akatsuki Goal."
"0x2DFF0"	"15"	"Shadow in Black"	"Black Shadow"	"12"	"Cleaner title within budget."
"0x2EE50"	"8"	"Opponent"	"Ｆｏｅ"	"6"	"Fullwidth short UI label for opponent; fits budget."
"0x2F2A0"	"12"	"Buy figures."	"Buy Figures"	"11"	"Title case and no trailing period for menu description."
"0x2F2D0"	"14"	"Buy Ultimates."	"Buy Ultimates"	"13"	"Title case and no trailing period for menu description."
"0x2F300"	"10"	"Buy music."	"Buy Music"	"9"	"Title case and no trailing period for menu description."
"0x2F330"	"11"	"Buy voices."	"Buy Voices"	"10"	"Title case and no trailing period for menu description."
"0x2F360"	"16"	"Buy guide ninja."	"Buy Guide Ninja"	"15"	"Title case and no trailing period for menu description."
"0x2F3A0"	"26"	"Choose a character to buy."	"Choose character to buy"	"23"	"Smoother prompt, shorter than current."
"0x2F500"	"10"	"Quit Shop?"	"Ｑｕｉｔ？"	"10"	"Fullwidth short shop exit prompt; fits exact CP932 budget."
"0x2F6F0"	"27"	"You drew a losing ticket..."	"You drew a dud ticket..."	"24"	"More natural lottery wording."
"0x2F8B0"	"20"	"Too bad, you missed."	"Too bad, no prize."	"18"	"More accurate lottery failure message."
