id	offset_hex	source_japanese	chosen_translation	notes	enabled
BTL_0001	0x1DBAB0	<r忍術|にんじゅつ>なし	No Ninjutsu	from filtered v13 patched row; explicit apply v17	yes
BTL_0002	0x1DD140	ふっとばすぞ左	Blow Away Left	from filtered v13 patched row; explicit apply v17	yes
BTL_0003	0x1DD150	つぶすぞ	Crush It	from filtered v13 patched row; explicit apply v17	yes
BTL_0007	0x1E1F90	ダミーカメラ＃０	Dummy Camera #0	from filtered v13 patched row; explicit apply v17	yes
BTL_0009	0x1E1FD0	演出カメラ「丑」	Event Camera: Ox	from filtered v13 patched row; explicit apply v17	yes
BTL_0011	0x1E2110	<r忍者学校|アカデミー>	Academy	from filtered v13 patched row; explicit apply v17	yes
BTL_0012	0x1E2130	<r下忍|げにん>ランクＡ	Genin Rank A	from filtered v13 patched row; explicit apply v17	yes
BTL_0013	0x1E2150	<r下忍|げにん>ランクＢ	Genin Rank B	from filtered v13 patched row; explicit apply v17	yes
BTL_0014	0x1E2170	<r下忍|げにん>ランクＣ	Genin Rank C	from filtered v13 patched row; explicit apply v17	yes
BTL_0015	0x1E2190	<r下忍|げにん>ランクＤ	Genin Rank D	from filtered v13 patched row; explicit apply v17	yes
BTL_0016	0x1E21B0	<r砂|すな>の<r三姉弟|さんきょうだい>	Sand Siblings	from filtered v13 patched row; explicit apply v17	yes
BTL_0017	0x1E21E0	<r霧|きり>の<r刺客|しかく>	Mist Assassins	from filtered v13 patched row; explicit apply v17	yes
BTL_0018	0x1E2200	<r新紅班|しんくれないはん>	New Team Kurenai	from filtered v13 patched row; explicit apply v17	yes
BTL_0019	0x1E2220	<r新|しん>アスマ<r班|はん>	New Team Asuma	from filtered v13 patched row; explicit apply v17	yes
BTL_0020	0x1E2240	<r新|しん>ガイ<r班|はん>	New Team Guy	from filtered v13 patched row; explicit apply v17	yes
BTL_0021	0x1E2260	<r新|しん>カカシ<r班|はん>	New Team Kakashi	from filtered v13 patched row; explicit apply v17	yes
BTL_0022	0x1E2280	<r上忍|じょうにん>ランクＡ	Jonin Rank A	from filtered v13 patched row; explicit apply v17	yes
BTL_0023	0x1E22A0	<r上忍|じょうにん>ランクＢ	Jonin Rank B	from filtered v13 patched row; explicit apply v17	yes
BTL_0024	0x1E22C0	<r砂|すな>の<r強者|つわもの>	Sand Elites	from filtered v13 patched row; explicit apply v17	yes
BTL_0025	0x1E22E0	<r音|おと>の<r五人衆|ごにんしゅう>	Sound Five	from filtered v13 patched row; explicit apply v17	yes
BTL_0026	0x1E2310	<r邪|よこしま>なる<r者|もの>	Wicked Ones	from filtered v13 patched row; explicit apply v17	yes
BTL_0027	0x1E2330	<r伝説|でんせつ>の<r三忍|さんにん>	Legendary Sannin	from filtered v13 patched row; explicit apply v17	yes
BTL_0028	0x1E2360	“<r暁|あかつき>”	Akatsuki	from filtered v13 patched row; explicit apply v17	yes
BTL_0029	0x1E2380	<r火影|ほかげ>たち	The Hokage	from filtered v13 patched row; explicit apply v17	yes
BTL_0030	0x1E23A0	<r特別対戦|とくべつたいせん>	Special Battle	from filtered v13 patched row; explicit apply v17	yes
BTL_0031	0x1E23C0	<r金髪五人衆|きんぱつごにんしゅう>	Blond Squad	from filtered v13 patched row; explicit apply v17	yes
BTL_0032	0x1E23F0	<r傀儡軍団|くぐつぐんだん>	Puppet Corps	from filtered v13 patched row; explicit apply v17	yes
BTL_0033	0x1E2410	<r木|こ>ノ<r葉先生|はせんせい>	Leaf Teachers	from filtered v13 patched row; explicit apply v17	yes
BTL_0034	0x1E2430	<r血継限界|けっけいげんかい>	Kekkei Genkai	from filtered v13 patched row; explicit apply v17	yes
BTL_0035	0x1E2450	<r高|たか>みの<r者|もの>たち	High-Ranking Shinobi	from filtered v13 patched row; explicit apply v17	yes
BTL_0036	0x1E2670	<r撒|ま>き<r菱|びし>	Caltrops	from filtered v13 patched row; explicit apply v17	yes
BTL_0037	0x1E2690	<r兵糧丸|ひょうろうがん>	Soldier Pills	from filtered v13 patched row; explicit apply v17	yes
BTL_0038	0x1E26B0	<r上忍|じょうにん>の<r靴|くつ>	Jonin Shoes	from filtered v13 patched row; explicit apply v17	yes
BTL_0039	0x1E26D0	カカシ<r人形|にんぎょう>	Kakashi Doll	from filtered v13 patched row; explicit apply v17	yes
BTL_0040	0x1E26F0	<r根性|こんじょう>のおもり	Guts Weight	from filtered v13 patched row; explicit apply v17	yes
BTL_0041	0x1E2710	<r風魔手裏剣|ふうましゅりけん>	Fuma Shuriken	from filtered v13 patched row; explicit apply v17	yes
BTL_0042	0x1E2730	<r呪札|じゅさつ>　<r鎧崩|よろいくず>し	Armor-Break Charm	from filtered v13 patched row; explicit apply v17	yes
BTL_0043	0x1E2760	<r亀甲丸|きっこうがん>	Kikko Pill	from filtered v13 patched row; explicit apply v17	yes
BTL_0044	0x1E2780	<r炸裂|さくれつ>クナイ	Blast Kunai	from filtered v13 patched row; explicit apply v17	yes
BTL_0045	0x1E27A0	<r起爆|きばく>クナイ	Explosive Kunai	from filtered v13 patched row; explicit apply v17	yes
BTL_0046	0x1E27C0	<r医療|いりょう>パック	Medical Pack	from filtered v13 patched row; explicit apply v17	yes
BTL_0047	0x1E27E0	<r雲隠|くもがく>れの<r巻物|まきもの>	Hidden Cloud Scroll	from filtered v13 patched row; explicit apply v17	yes
BTL_0048	0x1E2810	<r毒煙玉|どくけむりだま>	Poison Smoke Bomb	from filtered v13 patched row; explicit apply v17	yes
BTL_0049	0x1E2830	<r起爆札|きばくふだ>	Paper Bomb	from filtered v13 patched row; explicit apply v17	yes
BTL_0050	0x1E2850	<r元気丸|げんきがん>	Energy Pill	from filtered v13 patched row; explicit apply v17	yes
BTL_0051	0x1E2870	<r蝦蟇油|ガマあぶら>	Toad Oil	from filtered v13 patched row; explicit apply v17	yes
BTL_0052	0x1E2890	<r起爆|きばく>シール	Explosive Seal	from filtered v13 patched row; explicit apply v17	yes
BTL_0053	0x1E28B0	<r千影手裏剣|せんえいしゅりけん>	Thousand Shadow Shuriken	from filtered v13 patched row; explicit apply v17	yes
BTL_0054	0x1E28E0	<r痺|しび>れ<r玉|たま>	Stun Bomb	from filtered v13 patched row; explicit apply v17	yes
BTL_0055	0x1E2900	<r博打玉|ばくちだま>	Gamble Bomb	from filtered v13 patched row; explicit apply v17	yes
BTL_0056	0x1E2918	アイテムポーチ	Item Pouch	from filtered v13 patched row; explicit apply v17	yes
BTL_0057	0x1E2930	<r忍具乱舞|にんぐらんぶ>の<r巻物|まきもの>	Ninja Tool Barrage Scroll	from filtered v13 patched row; explicit apply v17	yes
BTL_0058	0x1E2960	<r金|きん>の<r装飾品|そうしょくひん>	Gold Ornament	from filtered v13 patched row; explicit apply v17	yes
BTL_0059	0x1E2990	<r琥珀|こはく>の<r塊|かたまり>	Amber Lump	from filtered v13 patched row; explicit apply v17	yes
BTL_0060	0x1E29B0	<r古銭|こせん>	Old Coin	from filtered v13 patched row; explicit apply v17	yes
BTL_0061	0x1E29C0	<r特別交渉手形|とくべつこうしょうてがた>	Special Negotiation Pass	from filtered v13 patched row; explicit apply v17	yes
BTL_0062	0x1E29F0	<r紅玉|こうぎょく>の<r指輪|ゆびわ>	Ruby Ring	from filtered v13 patched row; explicit apply v17	yes
BTL_0063	0x1E2A20	<r治癒|ちゆ>の<r巻物|まきもの>	Healing Scroll	from filtered v13 patched row; explicit apply v17	yes
BTL_0064	0x1E2A40	<r白銀|はくぎん>の<r延棒|のべぼう>	Silver Bar	from filtered v13 patched row; explicit apply v17	yes
