fresh_id	module	na2_function	nun5_function	na2_file_offsets	nun5_file_offsets	na2_masks	nun5_masks	existing_patch_id	current_scope	classification	evidence
ELF-K001	ELF	FUN_001e3f20	FUN_001e9d20	0x000E461C;0x000E470C;0x000E4A7C;0x000E4C50;0x000E4CD0;0x000E4F5C	0x000EA3F4;0x000EA490;0x000EA7CC;0x000EAE9C;0x000EAF04;0x000EB12C	circle*6	cross*6	ELF-M001	deferred	Save/load parent controller.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs; prior runtime history retained separately.
ELF-N001	ELF	FUN_001e5dc0	FUN_001ebc30	0x000E5FF4	0x000EBEDC	circle	cross	-	deferred	Save/load confirm-only helper used repeatedly by the parent controller.	Fresh structural twin; exact instruction bytes validated in clean regional ELFs.
ELF-K002	ELF	FUN_001e69b0	FUN_001ec780	0x000E6C20;0x000E6CC0	0x000ECA10;0x000ECA1C	circle;cross	cross;triangle	ELF-M002	deferred	Save/load modal/list child.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs; prior runtime history retained separately.
ELF-K003	ELF	FUN_001e6fb0	FUN_001ecc90	0x000E7118	0x000ECE78	circle	cross	ELF-M003	deferred	Save/load acknowledgment child.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs; prior runtime history retained separately.
ELF-N002	ELF	FUN_001e72e0	FUN_001ed140	0x000E7540	0x000ED3F8	circle	cross	-	deferred	Blocking memory-card/save-load prompt loop.	Fresh structural twin; exact instruction bytes validated in clean regional ELFs.
ELF-K004	ELF	FUN_001f37e0	FUN_001fa050	0x000F3974	0x000FA264	circle	cross	ELF-M004	deferred	Confirm-gated front-end transition.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs.
ELF-K005	ELF	FUN_001f8710	FUN_001ff1c0	0x000F894C	0x000FF47C	circle	cross	ELF-M005	deferred	Player-indexed confirm transition.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs.
ELF-K006	ELF	FUN_001f9f20	FUN_00200af0	0x000FA15C;0x000FA1F0	0x00100DA4;0x00100E38	circle*2	cross*2	ELF-M006	deferred	Timed prompt/result transition.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs.
ELF-N003	ELF	FUN_001fac20	FUN_002017e0	0x000FAD98	0x001019C0	circle	cross	-	unknown	Confirm-to-close overlay rendered inside another front-end object.	Fresh structural twin; exact instruction bytes validated in clean regional ELFs; runtime screen not mapped.
ELF-K007	ELF	FUN_001fc020	FUN_00202ce0	0x000FC2EC	0x0010302C	circle	cross	ELF-M007	deferred	Player-indexed list/prompt transition.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs.
ELF-K008	ELF	FUN_00383340	FUN_003920d0	0x00283440;0x00283488	0x00292250;0x00292274	circle;cross	cross;triangle	ELF-M008	in_scope	Shared selectable-list/modal decoder.	Independent structural match plus prior runtime proof across major front-end menus.
ELF-N004	ELF	FUN_00384cd0	FUN_00396340	0x00284DD4;0x00284DF0;0x00284E0C	0x002964C4;0x002964D4;0x002964E4	circle*2;cross	cross*2;triangle	-	in_scope_likely	Two-player/multi-action front-end input decoder returning distinct navigation, accept, cancel, and Start actions.	Fresh structural twin; exact instruction bytes validated in clean regional ELFs; caller is FUN_003849c0.
ELF-K009	ELF	FUN_003854f0	FUN_00396b90	0x002858E8;0x00285918	0x00296F08;0x00296F14	circle;cross	cross;triangle	ELF-M009	in_scope	Parent front-end state machine wrapping child selectable objects.	Structural C-export twin; exact instruction bytes validated in clean regional ELFs.
