patch_id	group_id	enabled	status	confidence	name	description	evidence_id	review_notes
ELF-Q001	startup	1	runtime_proven	verified	Skip CC2 intro	Skip the CyberConnect2 intro.	pnach_intro_skips	Runtime: Runtime-proven in PNACH and confirmed after static migration. | Exact file-backed conversion.
ELF-Q005	startup	1	runtime_proven	verified	Skip opening	Skip the opening sequence.	pnach_intro_skips	Runtime: Runtime-proven in PNACH and confirmed after static migration. | Enabled so the early loading-screen path proceeds directly to the menu transition.
ELF-Q009	startup	1	approved_for_test	high	Loading screen then main menu	Skip the four splash screens and opening, preserve required startup loading, bypass the title, and enter the native main-menu path after the existing loading screen has been shown.	startup_splash_controller	Static and savestate-memory evidence identifies the splash, loader, opening, title, loading-screen, and native post-Start state transitions. The runtime-injector hook owns early loading-screen presentation; this binary patch owns the native state transitions. Integrated runtime validation remains pending.
ELF-Q002	practice	1	runtime_proven	verified	Voice off by default	Start Practice with voice disabled.	pnach_practice_qol	Runtime: Runtime-proven in PNACH and confirmed after static migration. | Exact file-backed conversion.
ELF-Q006	practice	1	runtime_proven	verified	Support off by default	Start Practice with support disabled.	pnach_practice_qol	Runtime: Runtime-proven in PNACH and confirmed after static migration. | Exact file-backed conversion.
ELF-Q007	practice	1	runtime_proven	verified	Command display off by default	Start Practice with command display disabled.	pnach_practice_qol	Runtime: Runtime-proven in PNACH and confirmed after static migration. | Exact file-backed conversion.
ELF-Q003	practice	1	runtime_proven	verified	Simple display off	Simple-display default control.	pnach_simple_display	Runtime: Runtime-proven in PNACH and confirmed after static migration. | Exact file-backed conversion.
ELF-Q004	mode_select	1	runtime_proven	verified	Remove Adventure mode	Omit Adventure from Mode Select using the NUN6 negative availability sentinel.	nun6_adventure_mode_omission	Runtime: Runtime-proven in the integrated Current ISO: Adventure is absent and the remaining modes work normally. | NUN6 also omits entries 4 and 5; this patch deliberately ports only Adventure at entry 0.
ELF-Q008	mode_select	1	approved_for_test	high	Remove Shop	Omit Shop from Mode Select using the same negative availability sentinel as the Adventure omission.	na2_shop_mode_omission	Shop is entry 4 of the same seven-entry table; the canonical Restore Shop cheat writes its original value 5 back at runtime.
ELF-Q010	save_load	1	approved_for_test	high	Display only first save	Render only the first record in the shared Save/Load slot modal.	save_load_first_row	Static analysis isolates the row-render loop from the unchanged three-slot occupancy scan and selection handler. Runtime validation remains pending.
